Truck ID,Frequency
102,262
120,116
902,95
127,88
902444,86
387,85
400222,80
823,79
402222,78
388333,76
6,76
387333,75
400,74
902222,74
402333,73
388,73
400444,72
400333,71
387222,71
402,70
387444,70
388222,69
9333,68
832444,65
388444,65
10,63
103,60
832333,59
402444,58
827,58
1,58
900,57
9,57
603,55
104,55
105,55
913333,54
9444,53
10444,52
10222,52
902333,51
603444,51
913222,51
880222,50
910,50
125,49
904333,49
10333,48
830444,48
832222,48
822,47
126444,46
603222,46
827333,46
11,45
828222,45
822444,44
832,44
826,44
913,44
124,44
830222,44
913444,43
880,43
904222,43
124222,42
125444,42
127333,41
121444,41
826444,40
9222,40
904,40
122222,40
825,40
106,39
128333,39
905333,39
106222,39
105222,39
104222,39
830333,39
103222,39
128,39
828444,38
824444,38
827444,38
107,38
120444,38
121222,38
825444,38
821,38
903,38
403,37
121333,37
821333,37
881,37
126222,36
121,36
124444,36
130333,36
123222,36
822222,36
910333,35
6333,35
11222,35
120222,34
905444,34
403444,34
122333,34
825333,34
120333,34
124333,34
131444,33
824,33
129333,33
125222,33
827222,33
127222,33
903444,33
126333,32
900222,32
911,32
125333,32
3222,32
130444,32
821444,32
900444,31
830,31
825222,31
821222,31
131,30
1444,30
828,30
900333,30
3333,30
906222,30
910222,30
6222,29
130,29
8444,29
826222,29
905222,29
128222,29
126,29
912333,29
904444,28
901,28
1222,28
107222,28
914,28
11333,28
391222,28
901444,28
880333,27
906,27
2,27
391333,27
403222,26
901333,26
912444,26
903333,26
828333,26
911444,26
829,26
907222,25
829444,25
391,25
11444,25
901222,24
823444,24
911333,24
907,24
127444,23
3,23
906333,23
103333,22
123,22
391444,22
3444,22
910444,21
829333,21
829222,21
101222,21
102333,21
912,21
907333,21
129,21
826333,21
822333,20
903222,20
130222,20
912222,20
911222,20
603333,19
914444,19
881222,19
129444,19
104333,19
131222,18
881444,18
914222,18
122,18
2444,18
103444,18
824333,17
905,17
4222,17
2222,17
123444,17
128444,17
386333,16
4,16
105444,16
122444,15
8,15
881333,15
123333,15
7333,15
105333,15
5,15
106444,15
102444,15
823333,15
6444,14
107444,14
914333,13
880444,13
403333,13
4333,13
823222,13
5444,13
131333,13
386,13
104444,13
107333,12
2333,12
7444,12
101,12
4444,12
1333,12
101444,11
824222,11
8222,11
906444,11
7222,10
7,9
101333,8
102222,8
8333,8
106333,7
907444,7
5333,6
5222,6
129222,6
386222,6
386444,2
